Timestamp,Distance(cm),Status
2026-06-25 14:11:34,23.79,SAFE
2026-06-25 14:11:34,24.99,SAFE
2026-06-25 14:11:36,97.45,WARNING
2026-06-25 14:11:36,96.95,WARNING
2026-06-25 14:11:38,9.47,SAFE
2026-06-25 14:11:38,9.95,SAFE
2026-06-25 14:11:40,5.88,SAFE
2026-06-25 14:11:40,5.42,SAFE
2026-06-25 14:12:01,161.86,OUT OF RANGE
2026-06-25 14:12:01,161.84,OUT OF RANGE
2026-06-25 14:12:01,162.1,OUT OF RANGE
2026-06-25 14:13:17,99.28,WARNING
2026-06-25 14:13:18,85.18,WARNING
2026-06-25 14:13:21,88.46,WARNING
2026-06-25 14:13:21,99.45,WARNING
2026-06-25 14:13:23,49.61,WARNING
2026-06-25 14:13:23,97.96,WARNING
2026-06-25 14:13:24,136.65,OUT OF RANGE
2026-06-25 14:13:24,150.56,OUT OF RANGE
2026-06-25 14:13:26,193.62,OUT OF RANGE
2026-06-25 14:13:26,193.81,OUT OF RANGE
2026-06-25 14:13:27,91.86,WARNING
2026-06-25 14:13:28,89.04,WARNING
2026-06-25 14:14:05,83.31,WARNING
2026-06-25 14:14:06,90.28,WARNING
2026-06-25 14:14:10,86.23,WARNING
2026-06-25 14:14:10,85.37,WARNING
2026-06-25 14:14:12,81.65,WARNING
2026-06-25 14:14:12,82.01,WARNING
2026-06-25 14:14:13,81.55,WARNING
2026-06-25 14:14:13,81.17,WARNING
2026-06-25 14:14:15,196.88,OUT OF RANGE
2026-06-25 14:14:15,197.29,OUT OF RANGE
2026-06-25 14:14:18,89.25,WARNING
2026-06-25 14:14:18,91.89,WARNING
2026-06-25 14:14:31,236.57,OUT OF RANGE
2026-06-25 14:14:31,236.1,OUT OF RANGE
2026-06-25 14:14:42,501.83,OUT OF RANGE
2026-06-25 14:14:42,376.34,OUT OF RANGE
2026-06-25 14:14:45,144.25,OUT OF RANGE
2026-06-25 14:14:45,145.11,OUT OF RANGE
2026-06-25 14:15:16,22.93,SAFE
2026-06-25 14:15:16,23.27,SAFE
2026-06-25 14:15:26,20.01,SAFE
2026-06-25 14:15:27,21.25,SAFE
2026-06-25 14:15:27,21.23,SAFE
2026-06-25 14:15:27,21.25,SAFE
2026-06-25 14:15:30,22.07,SAFE
2026-06-25 14:15:30,21.97,SAFE
2026-06-25 14:15:35,21.04,SAFE
2026-06-25 14:15:35,20.19,SAFE
2026-06-25 14:15:35,21.06,SAFE
2026-06-25 14:15:35,20.2,SAFE
