Timestamp,Distance(cm),Status
2026-06-25 15:46:43,22.26,SAFE
2026-06-25 15:46:43,20.46,SAFE
2026-06-25 15:46:48,165.09,OUT OF RANGE
2026-06-25 15:46:48,165.05,OUT OF RANGE
2026-06-25 15:46:51,446.33,OUT OF RANGE
2026-06-25 15:46:51,319.76,OUT OF RANGE
2026-06-25 15:46:52,236.34,OUT OF RANGE
2026-06-25 15:46:52,234.08,OUT OF RANGE
2026-06-25 15:46:53,235.68,OUT OF RANGE
2026-06-25 15:46:53,199.68,OUT OF RANGE
2026-06-25 15:46:54,63.66,WARNING
2026-06-25 15:46:54,17.37,SAFE
2026-06-25 15:46:55,15.78,SAFE
2026-06-25 15:46:55,201.46,OUT OF RANGE
2026-06-25 15:46:56,3.84,SAFE
2026-06-25 15:46:56,3.45,SAFE
2026-06-25 15:46:58,3.36,SAFE
2026-06-25 15:46:58,3.34,SAFE
2026-06-25 15:47:00,1010.26,OUT OF RANGE
2026-06-25 15:47:03,100.43,OUT OF RANGE
2026-06-25 15:47:03,98.27,WARNING
2026-06-25 15:47:05,241.13,OUT OF RANGE
2026-06-25 15:47:05,243.2,OUT OF RANGE
2026-06-25 15:47:07,464.9,OUT OF RANGE
2026-06-25 15:47:07,413.01,OUT OF RANGE
